SÕNA,DEFINITSIOON,TASE
pealtpoolt,"millegi allpool, madalamal asuva suhtes kõrgemalt",B2
peaminister,"juht, kelle harilikult nimetab ametisse riigipea",B1
peamiselt,enamusel juhtudest,B1
peatuma,"kusagil viibimise, käimise korral asuma, korteris olema",A2
peatükk,"raamatu suurem, omaette terviku moodustav jaotus",B2
pedaal,jalaga liigutatav kangina talitlev juhtimisseadis või sellise seadme käitamislüli,B2
peegeldama,"valgust, heli või muu",B2
peegelduma,kahe keskkonna piirilt tagasi pöörduma,B2
peen,raskesti eraldatav või taibatav,B1
peenar,"harilikult ristkülikukujuline pinnakõrgendik lillede või köögivilja, ka puutaimede kasvatamiseks",B1
peenike,"mitte paks, liigse liha või rasva puudumine",B1
pehme,"vetruv, painduv, ka kergesti töödeldav",A2
pehmendama,"leebeks, järeleandlikuks tegema, vähem järsuks, karmiks või rangeks muutma",B2
pendel,raskusjõu mõjul mingi punkti või rõhttelje ümber võnkuv jäik keha,B2
pension,"igakuine rahaline väljamakse vanaduse, invaliidsuse ja toitjakaotuse korral või nõutava pikkusega erialase staaži olemasolul",A2
pensionär,pensioni saav isik,A2
pere,"ühise tegevuse, ühiste huvide, eesmärkide või muu sellise põhjal kokkukuuluv inimrühm",A1
perspektiiv,"ruumilise eseme kujutamine harilikult tasandil nii, et säilib mulje ruumilisusest",B2
perspektiivitu,"tulevikuväljavaateta, tulevikuta",B2
pesa,"valmistatud ehitis, milles nad kasvatavad järglasi või elutsevad",A2
pesu,pestavad või äsja pestud riideesemed,A2
pesumasin,"masin, mis peseb tekstiilesemeid",A2
petma,"petlik olema, eksitusse viima, alt vedama",B1
pettuma,"täide minemata jäänud ootuste, lootuste pärast rahulolematust tundma",B1
pidu,"millegi tähistamiseks, kellegi auks või muu puhul korraldatav seltskondlik koosviibimine",A1
pidulikult,pidulikul moel,B1
pidur,seade masina või selle osa liikumise aeglustamiseks ja peatamiseks või soovitava asendi säilitamiseks,B1
pidurdama,"pidureid kasutama, harilikult piduri abil sõiduki, harvemini masina, mehhanismi või muu sellise liikumist aeglustama või peatama",B1
pidurduma,"takistatud olema, aeglustuma või peatuma",B2
pidutsema,"pidu, olengut pidama",B2
pigem,osutab järgnevat sõna või lauseosa rõhutades vastanduvatest võimalustest ühe ülekaalukusele või selle eelistusele ning täpsustab mõtet,B1
pihta,millelegi või kellelegi puudutades vastu,B2
pihtima,vaimulikule patte üles tunnistama,C1
pihtimus,"tegude, tundmuste, salajaste mõtete ärarääkimine",C1
pihustama,"pihuks, peeneks, väikesteks osadeks tegema või muutma",B2
piibel,millegi põhitõdesid või kellegi tõekspidamisi sisaldav teos,B2
piim,"valge, hägune vedelik",A1
piir,"mingite territooriumide, nähtuste, asjade või muu eraldav joon",A2
piirama,millegi ümber olema,B1
piiramatu,"mitte millegagi piiratud, kitsendamata",B2
piiramatult,ilma piiranguteta,B2
piirduma,"mingist asjaolust, määrast mitte kaugemale ulatuma",B2
piirkond,"ala, mida iseloomustavad teatud administratiivsed, majanduslikud või muu tunnused",A2
piisavalt,parajal määral,B1
piiskop,"kristliku kiriku kõrgem vaimulik, algselt ristiusu kogukonna juht",B2
pikaajaline,"pika aja kestel jõus, kehtiv, pikemaks ajaks määratud",B1
pikali,rõhtasendisse maapinnale või mingile alusele,B1
pikapeale,teatud ajavahemiku möödudes,B2
pikendama,millelegi kehtivusaega lisama,B1
piki,"millegi pikkuse suunas, mööda mingit teed, joont või mööda millegi äärt, serva",B2
pikk,ulatusliku vahemaaga,A1
piknik,eine vabas looduses,B1
pilgutama,"silmalauge korduvalt, harilikult kiiresti sulgema ja avama",B2
pilk,"vaatamisviis, silmade ilme",B1
pilkama,"kellelegi halvasti, salvavalt või irooniaga ütlema",C1
pilt,"tasapinnale tehtud kujutis mingist esemest, isikust, sündmusest või muu sellise",A1
pilvik,väga hapra lihaka viljakehaga piimmahlatu söödav kandseen,B2
pimedus,"vananenult kurjus, kurjuse maailm",B1
pimestama,ajutiselt nägemisvõimetuks tegema või nägemisvõimet vähendama,B2
pinge,"vastuoludest, lahkhelidest tingitud pinev, ärev, närviline olukord, mis võib agressiivse tegutsemiseni viia",B1
pingutama,"koormavat pinget, pingutust põhjustama",B1
pink,"harilikult kõva jalgadega iste, mis enamasti mahutab mitut istujat",B1
pintsel,"varre otsa kinnitatud harjastest, karvadest või muu sellise tööriist värvi, laki, liimi ja muu vedela aine pinnale kandmiseks",B1
pisar,"pisaranäärmeis tekkiv üle alalau serva langev vedelikutilk,",B1
pistik,"hark juhtme otsas, mida pistikupesaga ühendades on võimalik elektririistu vooluvõrku lülitada",B2
pistma,teravaotsalise esemega,B2
pitser,"harilikult millegi mõjust tingitud iseloomulik varjund, jälg, tundemärk vms",B2
plaanima,"kõvasti korduvalt lööma, peksma",B1
plaat,"võrdlemisi jäik ese, mille paksus on oluliselt väiksem tema teistest mõõtmetest",B1
plahvatama,"äkki, nagu plahvatuse tagajärjel tekkima, esile kerkima või muutuma",B1
planeerima,maa-ala kruntideks välja mõõtma,B1
plats,millegagi piiratud maa-ala,A2
plekk,metallist või metallisulamist valtsimise teel valmistatud leht- või lintmaterjal,B1
pliiats,"südamikust ja ümbrisest koosnev kirjutus-, joonistus- ja joonestusvahend",A1
pliit,harilikult rõhtsa plaadi või plaatidega kuumutusseade toidu valmistamiseks või millegi soojendamiseks,A2
plika,"tüdruk, tütarlaps, noor neiu, piiga",B2
plokk,terviklik kogum või rühm,B2
pluss,"väärtust suurendav tegur, tugev külg, eelis",A1
poetama,"midagi kuhugi märkamatult, vargsi panema, pistma või langeda, kukkuda, pudeneda laskma",C1
poksima,harilikult peaga või sarvedega lööma,B2
poliitik,aktiivselt poliitikaga tegelev isik,A2
poliitika,"teatud põhimõtetest lähtuv kavakindel tegutsemine, et mõjutada või korraldada riigiasju, riikidevahelisi suhteid või ühiskonnaelu",A2
polikliinik,suurem haiglavälist arstiabi andev profülaktika- ja raviasutus,B1
poogen,"poogenpillidel heli tekitamise vahend, mis koosneb elastsest puitridvast ja selle otste vahele pinguldatud jõhvidest",B2
pool,"hoone, hoonete rühma või muu sellise harilikult kuuluvuse, otstarbe või paiknemise järgi eristatav osa",A1
poole,millelegi või kellelegi suunaga lähemale,A2
pooleldi,poolest saadik,B2
popitama,põhjuseta puuduma,B2
porgand,sarikaline aia- ja põllukultuuri söödav juur,A1
poseerima,mingis asendis kunstniku või fotograafi ees olema,B2
positiivne,"hea, heakskiitu vääriv",A2
positsioon,klassikalises tantsus käte või jalgade kindel asend,B1
post,"puidust või metallist osa, mis on kindlalt paigaldatud püstisse asendisse",A2
postkast,piluga kast kirjade postitamiseks,A2
potentsiaal,võime millekski,B2
praad,ahjus küpsetatud lihatükk või lind,B1
praadima,"toiduaineid rasva, õli või muu rasvainega",B1
praegu,kõnehetkega samal ajavahemikul,A1
praktika,"õppevorm, mille puhul omandatud teadmisi ja oskusi rakendatakse tegelikus töös",A2
praktikant,"praktikal olija, ametiõppija",B2
praktiliselt,"tegelikkuses, praktikas",B1
praktiseerima,erialal tegutsema,C1
preemia,harilikult rahaline auhind,A2
premeerima,"preemiaga autasustama, preemiat määrama",B2
presentatsioon,ettevõtte mõne uue toote esitus,B2
pressima,pressi abil suruma,B1
pritsima,piiskadena või kübemetena üles või välja paiskuma,B2
professionaalselt,elukutsega seoses olevana või sellele omaselt,B2
professor,"kõrgem õppejõu ametikoht kõrgkoolis, sellel kohal töötav isik",A2
prognoos,kindlatel eeldustel põhinev nähtuse või süsteemi arengu või tulevaste seisundite ennustus,B2
projekt,"tehniliste dokumentide komplekt, mis sisaldab objekti kirjelduse, joonised, põhjendavad arvestused ja vahel ka maketi",A2
prokurör,riiklik süüdistaja kohtus kriminaalasja arutamisel,B1
proov,pooleli oleva riietuseseme sobitamine kandja mõõtudele vastavaks,A2
propaganda,"poolehoidjaid taotlev ideede, õpetuste või muu sellise sihikindel levitamine",B2
prostitutsioon,"oma ande, au, tõekspidamiste või muu sellise müümine",B2
protesteerima,"mitte nõustuma, protesti avaldama",B2
protestima,ametlikku protesti esitama,B2
protokoll,toimunut tõendav ametiisiku koostatud akt,B2
protsess,"tulemuseni jõudev asjade või nähtuste muutumine, teisenemine, liikumine, areng, sellise muutumise kulg",A2
proua,"peenem, jõukam, haritum, harilikult linliku eluviisiga naine",A1
provotseerima,"midagi tahtlikult esile kutsuma, kedagi ässitama",B2
pruun,"pruun värvus või värvaine, miski pruuni värvi",A1
prügivedu,prügi kokku korjamine ja ära vedamine,B2
psühholoog,psühholoogia eriteadlane või vastava hariduse saanud asjatundja,B1
psühholoogiline,"psühholoogiateadusega seotud, psühholoogi poolt läbi viidud, psühholoogiateooriale või vastavale praktikale tuginev",B1
psüühika,"närvisüsteemi omadus peegeldada tegelikkust, see tähendab reageerida välis- või siseärritajatele",B2
publik,"avalikkus, rahvas, seltskond, külastajad",A2
pudel,korgiga suletav kitseneva ülaosaga harilikult silindriline anum,A1
pugema,rõivastumisega ühenduses,B2
puhas,ilma lisanditeta,A1
puhastama,"mustust, prahti, prügi kõrvaldama, mittevajalikust vabastama, kõrvalist eemaldama",B1
puhkama,töö või muu pingutuse järel väsimustundest vabanemiseks ja jõuvarude taastamiseks,A1
puhkema,"hoogsalt algama, tekkima",B2
puhkepäev,"päev, mil töötaja on ametikohustustest vaba",A2
puhtalt,mitte määrdunult,B1
puhtus,"määrdumata olek, pestus, kasitus",B1
puistama,nõnda midagi otsima,C1
puit,puitunud rakkudest koosnev puude ja teised puittaimede varre põhiosa,B2
puljong,"leem, mis on saadud liha, konte, kala, seeni või köögivilja keetes",B2
pumpama,"pumba abil vedelikke, õhku, gaase või muu ühest kohast teise toimetama",B2
punane,"maasikate, pohlade, vere või muu sellise värvi",A1
punastama,näost äkki punaseks minema,B2
pungil,punnitavalt täis olekus,C1
punkt,väike ümmargune nähtav objekt või märk,B1
purjetama,purje abil liikuma,B2
purk,laia suuga harilikult silindriline anum,B2
pussitama,pussiga haavavalt või surmavalt lööma,C1
puu,pikaealine kõrgema tüvega puittaim,A1
puudujääk,"rahaline puudujääk, erinevus sissetuleku ja väljamineku vahel",B2
puuduma,"kuskilt ära olema, mingis kohas mitte viibima, mitte paiknema, mitte asetsema",A1
puurima,millegi kallal pusima,B2
puutuma,"kallale minema, liiga, kurja tegema",B1
puuvillane,puuvillakiust tehtud või töödeldud,B2
põdema,"kannatama, haiglane või haige olema",B1
põgenik,"see, kes põgeneb või on põgenenud",B2
põgus,"vähe märgatav või tajutav, kerge",B2
põgusalt,lühidal ja vaiksel viisil,C1
põhiharidus,"kohustuslik üldharidusmiinimum, põhikooli haridus",B1
põhiliselt,teistest olulisem,B1
põhimõtteline,"kindlalt, kõrvalekaldumata teatavat otsust, põhimõtet järgiv",B1
põhimäärus,"normatiiv- või individuaalakt, mis sätestab juriidilise isiku või selle allüksuse õigusliku seisundi",B2
põhjalikult,jõulisel kombel,B1
põhjustama,"millegi põhjuseks olema, midagi esile kutsuma",B1
põimima,tihedalt millegi ümber kokku panema või mähkima,C1
põis,inimese või looma kelmeline õõneselund mingi vedeliku või gaasi tarvis,B2
põld,haritav maa valdavalt lühiealiste kultuuride kasvatamiseks,B1
põletama,tulega hävitama või hukkama,B1
põlgama,midagi vastumeelseks pidama ja seda vältida püüdma või sellest ära ütlema,C1
põline,kaua kuskil elanud või kellenagi tegutsenud,C1
põnevik,põnevusfilm või -jutt,B2
põrand,"ruumi, hoone vm ehitise rõhttarind, millele toetuvad seadmed, mööbel jms",A1
põruma,rappumise või tõugete tõttu liikuma või asendit muutma,C1
põrutama,"kehavigastusena põrutust tekitama, seda esile kutsuma",B2
põud,"kuum ilmastik, mis ei võimalda taimedel rahuldada oma veetarve",B1
põõsas,"madalalt harunev puittaim, mille võra kannavad tüvikud",B1
päev,teatud eripära või tähendusega hetk või periood ajas,A1
päevik,"raamat, kuhu järjekindlalt kantakse tööülesanded, vaatlusandmed, õpilaste hinded või muu sellise",A2
päikeseprillid,silmi ereda päikesevalguse eest kaitsvad prillid,B1
pärand,"surnud isikutest, eelnenud põlvkondadest, varasematest aegadest pärinevad vaimsed varad või väärtused",B2
pärandama,"pärijale pärandiks jätma, pärandina edasi andma",B2
pärast,väljendab vahetut ajalist järgnevust,A2
pärg,"austuse märgiks surnule, ka võitjale ja nii edasi",B2
pärilikkus,organismide omadus säilitada ning paljunemisel järglastele edasi anda eellaste tunnuseid ja arenemise iseärasusi,B2
pärima,"küsima, pealekäivalt midagi teada saada tahtma",B1
päriselt,väljendab modaalsust,B2
päts,piklik ümarate otstega,B2
pätt,"allakäinud, kindla töö- ja elupaigata inimene, hulgus",B2
päädima,"tipuks, haripunktiks olema",C1
pääs,"müüris, aias või seinas olev tarind, mis võimaldab sisse- ja väljapääsu",B2
pääsema,"osutab millegi toimumise võimalikkusele, võimalusele",B1
päästma,"midagi halba ära hoidma, ebasoodsasse või täbarasse olukorda sattumast takistama",A2
pööning,hoone katuse ja ülemise korruse lae vaheline ruum,B1
pöörama,"millelegi teist sisu, teistsugust suunda andma, midagi teiseks tegema või muutma",A2
pöördepunkt,pöörde sooritamise koht,B2
püha,"selline, mis on Jumalale, jumalustele, jumalateenistuseks määratud ja pühendatud või mille vahendusel Jumal, jumalus end ilmutab ja millele seetõttu osutatakse erilist austust",A2
pühadus,püha-olek,C1
pühak,"legendaarne või ajalooline eriliselt vaga isik, keda ristiusus austatakse imetegijana ja inimeste eestkostjana jumala ees",B2
pühakiri,usklike poolt pühaks peetav raamat,B2
pühamu,"pühaks peetav, püha koht",C1
pühendama,"kellelegi, millelegi suunama, millelegi pöörama",B1
pühkima,"jõuga, hooga kuhugi või mingis suunas ise liikuma või liikuma sundima",B1
püramiid,"hulktahukas, mille kõik tahud peale põhja on ühise tipuga kolmnurgad",B2
püree,läbi sõela aetud või muul teel peenestatud poolvedel toit või hoidis,A2
püsivalt,"sellisel viisil, et vastu peaks või püsiks",B2
püss,sile- või vintraudne üksiklaskudega käsitulirelv,B2
püsti,vertikaalsesse asendisse,B1
püüdlikkus,"loomujoon, mille puhul inimene oma tegemistes võimalikult head tulemust üritab",B2
raadio,meetod informatsiooni juhtmeteta edastamiseks ja vastuvõtmiseks raadiolainete abil,A1
raadius,ringjoone või kerapinna punkti keskpunktiga ühendava lõigu pikkus,B2
raam,"ümbritsev liist, ääris",A2
raamat,"trükipoognaist koosnev terviklik väljaanne, mida katavad kaaned, sellisel kujul ilmunud või ilmuv kirjandustoode",A1
rabama,"haarama, kahmama",C1
rabelema,"kõigest väest, ägedasti ennast liigutama või siia-sinna liikuma",B2
rada,võistluseks või treeninguks või muu ettenähtud liikumistee,B1
radar,liikluse kontrollimiseks kasutatav kiirusmõõtur,B2
radiaator,sisepõlemismootori vesijahutusseade,B1
raha,üldine ametlik maksevahend müntide ja rahatähtede kujul,A1
rahaline,"rahana arvestatud, rahaga seotud",B1
rahaühik,seadusega kehtestatud rahasüsteemielement,B1
rahe,soojal aastaajal äikesepilvest ebakorrapäraste teradena langevad tahked sademed,B1
rahu,"riikide vahekord, kus kumbki riik ei rakenda teise suhtes vägivalda",A2
rahuldama,"kellelegi rahulolu, rahuldust pakkuma, kedagi rahulduma panema",B1
rahuldav,"selline, millega võib rahul olla, mitte eriti hea, aga ka mitte halb",B2
rahulik,"vaikne, rahus olev, vähese liikuvuse või muutuvusega",A2
rahulikult,"tasakaalukal, mitteerutuval või -ägestuval, ennast valitseval moel",A2
rahumeelne,mitte sõjakas ega sõjaline,B2
rahunema,"olnud seisu tagasi pöörduma, stabiilseks, rahulikuks muutuma",B2
rahutu,"tormakas, mitterahulik, sündmusrikas, mitmesuguste",B2
rahvuskoondis,riigi koondvõistkond,B2
raie,"terava riistaga harilikult tükeldades, osadeks, katki tehes",C1
raiuma,"terava riistaga mingit materjali töötlema, sellest midagi valmistama, seda viimistlema",C1
rajama,"midagi aluseks võtma, kellelegi või millelegi tuginema, sellest lähtuma",B1
rakendama,"kasutusele võtma, tegevusse panema",B2
rakenduma,end rakendama,B2
rakenduskõrgkool,mitteakadeemiline kõrgkool,B2
rakenduslik,seotud pigem konkreetsete probleemide või andmetega,B2
rakett,rakettmootoriga lennuaparaat,B2
rakk,elusorganismi väikseim funktsionaalne ja strukturaalne osake,B2
rand,"merd, suuremat järve või veehoidlat äärestav maismaaosa rannajoonest kuni tugevaima tormilaine mõjupiirini",A2
raputama,"kiskuma, rebima",B1
raske,"palju kaaluv, suure kaaluga",A1
raskelt,"raskena, palju kaaluvana",B1
raskendama,"raskemaks, rängemaks, suuremaks muutma",B2
raskus,"ese, mis mõjub oma massiga",B1
raskusaste,"millegi suuruse, tõsiduse, keerulisuse vms määr",B2
rasv,"loomade rasvast töödeldud toiduaine, harilikult searasv",B1
rasvane,"paksu rasvkoega, rasvunud, pekine, lihav, paks, priske",B1
ratas,"keskpunkti läbiva telje ümber pöörlev kettakujuline või rummust, kodaratest ja pöiast koosnev töö- ja transpordimasinate osa",A1
ratastool,ratastega tool liikumisvõimetu inimese jaoks,B1
ratifitseerima,rahvusvahelist lepingut,C1
raud,sellest metallist või seda metalli rohkesti sisaldavast sulamist ese,B1
raudne,"karm, kalk, range, tugev, järeleandmatu",B1
reaalne,"päriselt olemasolev, toimiv vms, tegelikkusele, tõele vastav",A2
reaalselt,"tõelisel, tegelikul moel, tegelikkusesse kuuluv",B2
reaalsus,"tõeline, tegelik, tegelikkusesse kuuluv , aineline",B2
reageerima,mingile põhjusele või sündmusele teatud käitumise või teoga vastama,B1
realiseerima,tulemuse saavutamiseks ära kasutama,B2
rebane,"terava koonu, kikkis kõrvade ja pika koheva sabaga koerlane , eelkõige laialt levinud ruugeseljaline nn. punarebane",A2
rebima,"tugevasti tõmbama, kiskuma, tirima",B1
redel,kahest tugevast külgpuust ning neid ühendavatest pulkadest koosnev,B1
